episode_id,player_idx,map_type,n_steps_total,t_soft,t_hard,phase_t_soft,phase_t_hard,direction,t_window_start,window_size,final_label,consistent
76126973,1,medium_orbital,167,98,131,0.5904,0.7892,loss,65,33,0,1
76126987,0,small_static,149,99,139,0.6689,0.9392,win,70,29,1,1
76126987,1,small_static,149,99,139,0.6689,0.9392,loss,70,29,0,1
76135954,0,small_static,135,98,105,0.7313,0.7836,loss,71,27,0,1
76135954,1,small_static,135,95,105,0.709,0.7836,win,68,27,1,1
76139036,0,large_orbital,141,112,119,0.8,0.85,loss,84,28,0,1
76139036,1,large_orbital,141,95,119,0.6786,0.85,win,67,28,1,1
76151155,0,medium_orbital,183,88,131,0.4835,0.7198,loss,52,36,0,1
76151155,1,medium_orbital,183,99,131,0.544,0.7198,win,63,36,1,1
76155798,0,medium_orbital,146,103,116,0.7103,0.8,win,74,29,1,1
76155798,1,medium_orbital,146,103,116,0.7103,0.8,loss,74,29,0,1
76162286,0,medium_static,168,138,139,0.8263,0.8323,loss,105,33,0,1
76162286,1,medium_static,168,138,139,0.8263,0.8323,win,105,33,1,1
76166997,0,medium_orbital,116,59,88,0.513,0.7652,win,36,23,1,1
76166997,1,medium_orbital,116,59,88,0.513,0.7652,loss,36,23,0,1
76168171,0,large_orbital,100,39,85,0.3939,0.8586,win,19,20,1,1
76168171,1,large_orbital,100,58,85,0.5859,0.8586,loss,38,20,0,1
76169387,0,medium_static,173,91,127,0.5291,0.7384,loss,57,34,0,1
76169387,1,medium_static,173,88,127,0.5116,0.7384,win,54,34,1,1
76176665,0,medium_orbital,147,75,87,0.5137,0.5959,win,46,29,1,1
76176665,1,medium_orbital,147,75,87,0.5137,0.5959,loss,46,29,0,1
76201225,0,medium_orbital,186,122,151,0.6595,0.8162,win,85,37,1,1
76201225,1,medium_orbital,186,122,151,0.6595,0.8162,loss,85,37,0,1
76202954,0,medium_orbital,119,55,66,0.4661,0.5593,loss,32,23,0,1
76202954,1,medium_orbital,119,55,66,0.4661,0.5593,win,32,23,1,1
76216437,0,small_static,152,58,99,0.3841,0.6556,loss,28,30,0,1
76216437,1,small_static,152,58,99,0.3841,0.6556,win,28,30,1,1
76227451,0,large_orbital,238,189,192,0.7975,0.8101,win,142,47,1,1
76227451,1,large_orbital,238,191,192,0.8059,0.8101,loss,144,47,0,1
76242405,0,medium_orbital,157,106,143,0.6795,0.9167,win,75,31,1,1
76242405,1,medium_orbital,157,106,143,0.6795,0.9167,loss,75,31,0,1
76243092,0,medium_orbital,203,147,184,0.7277,0.9109,win,107,40,1,1
76243092,1,medium_orbital,203,138,184,0.6832,0.9109,loss,98,40,0,1
76249460,0,large_orbital,185,148,161,0.8043,0.875,loss,111,37,0,1
76249460,1,large_orbital,185,148,161,0.8043,0.875,win,111,37,1,1
76255902,0,large_static,167,139,139,0.8373,0.8373,loss,106,33,0,1
76255902,1,large_static,167,139,139,0.8373,0.8373,win,106,33,1,1
76258762,0,small_static,151,97,100,0.6467,0.6667,loss,67,30,0,1
76258762,1,small_static,151,97,100,0.6467,0.6667,win,67,30,1,1
76259847,0,large_orbital,205,164,185,0.8039,0.9069,win,123,41,1,1
76259847,1,large_orbital,205,175,185,0.8578,0.9069,loss,134,41,0,1
76275892,0,medium_static,142,95,129,0.6738,0.9149,win,67,28,1,1
76275892,1,medium_static,142,95,129,0.6738,0.9149,loss,67,28,0,1
76312376,0,medium_orbital,123,86,104,0.7049,0.8525,loss,62,24,0,1
76312376,1,medium_orbital,123,86,104,0.7049,0.8525,win,62,24,1,1
76319914,0,medium_orbital,118,56,85,0.4786,0.7265,win,33,23,1,1
76319914,1,medium_orbital,118,56,85,0.4786,0.7265,loss,33,23,0,1
76324976,0,medium_static,155,94,123,0.6104,0.7987,win,63,31,1,1
76324976,1,medium_static,155,94,123,0.6104,0.7987,loss,63,31,0,1
76338445,0,medium_static,281,123,159,0.4393,0.5679,win,67,56,1,1
76338445,1,medium_static,281,124,159,0.4429,0.5679,loss,68,56,0,1
76341498,0,small_static,185,105,148,0.5707,0.8043,win,68,37,1,1
76341498,1,small_static,185,105,148,0.5707,0.8043,loss,68,37,0,1
76344335,0,medium_static,216,125,156,0.5814,0.7256,loss,82,43,0,1
76344335,1,medium_static,216,122,156,0.5674,0.7256,win,79,43,1,1
76353192,0,small_static,208,127,152,0.6135,0.7343,win,86,41,1,1
76353192,1,small_static,208,127,152,0.6135,0.7343,loss,86,41,0,1
76354266,0,small_static,206,127,162,0.6195,0.7902,win,86,41,1,1
76354266,1,small_static,206,130,162,0.6341,0.7902,loss,89,41,0,1
76360514,0,medium_orbital,155,95,125,0.6169,0.8117,loss,64,31,0,1
76360514,1,medium_orbital,155,95,125,0.6169,0.8117,win,64,31,1,1
76364693,0,small_static,187,88,116,0.4731,0.6237,loss,51,37,0,1
76364693,1,small_static,187,80,116,0.4301,0.6237,win,43,37,1,1
76369073,0,large_orbital,222,189,196,0.8552,0.8869,win,145,44,1,1
76369073,1,large_orbital,222,193,196,0.8733,0.8869,loss,149,44,0,1
76369368,0,small_static,202,136,143,0.6766,0.7114,win,96,40,1,1
76369368,1,small_static,202,136,143,0.6766,0.7114,loss,96,40,0,1
76397269,0,small_static,286,199,235,0.6982,0.8246,loss,142,57,0,1
76397269,1,small_static,286,199,235,0.6982,0.8246,win,142,57,1,1
76408494,0,medium_static,108,65,92,0.6075,0.8598,loss,44,21,0,1
76408494,1,medium_static,108,64,92,0.5981,0.8598,win,43,21,1,1
76421250,0,medium_orbital,217,158,188,0.7315,0.8704,loss,115,43,0,1
76421250,1,medium_orbital,217,162,188,0.75,0.8704,win,119,43,1,1
76448561,0,large_static,211,161,161,0.7667,0.7667,loss,119,42,0,1
76448561,1,large_static,211,161,161,0.7667,0.7667,win,119,42,1,1
76451682,0,small_orbital,124,105,105,0.8537,0.8537,win,81,24,1,1
76451682,1,small_orbital,124,105,105,0.8537,0.8537,loss,81,24,0,1
76453508,0,large_static,138,112,112,0.8175,0.8175,loss,85,27,0,1
76453508,1,large_static,138,112,112,0.8175,0.8175,win,85,27,1,1
76481945,0,medium_static,114,50,82,0.4425,0.7257,win,28,22,1,1
76481945,1,medium_static,114,50,82,0.4425,0.7257,loss,28,22,0,1
76501532,0,large_orbital,194,152,181,0.7876,0.9378,win,114,38,1,1
76501532,1,large_orbital,194,171,181,0.886,0.9378,loss,133,38,0,1
76509046,0,small_static,217,132,175,0.6111,0.8102,loss,89,43,0,1
76509046,1,small_static,217,132,175,0.6111,0.8102,win,89,43,1,1
76527854,0,medium_orbital,150,81,94,0.5436,0.6309,loss,51,30,0,1
76527854,1,medium_orbital,150,81,94,0.5436,0.6309,win,51,30,1,1
76528949,0,medium_orbital,125,91,117,0.7339,0.9435,loss,66,25,0,1
76528949,1,medium_orbital,125,93,117,0.75,0.9435,win,68,25,1,1
76559251,0,medium_orbital,291,218,256,0.7517,0.8828,loss,160,58,0,1
76559251,1,medium_orbital,291,226,256,0.7793,0.8828,win,168,58,1,1
76601546,0,small_orbital,112,82,82,0.7387,0.7387,win,60,22,1,1
76601546,1,small_orbital,112,84,84,0.7568,0.7568,loss,62,22,0,1
76670723,0,small_static,139,88,111,0.6377,0.8043,win,61,27,1,1
76670723,1,small_static,139,101,111,0.7319,0.8043,loss,74,27,0,1
